tileid,parenttile_id,resourceinstance_id,Imagebefore2015,imagebefore2015caption,imagebefore2015description,sortorder,provisionaledits,nodegroup_id
d529049a-4631-47dc-b2fa-4b52c96f8d84,None,04e62546-0b04-41d7-9651-12189c45e5c6,/files/uploadedfiles/LAL1090_H_ca.19740000_01.jpg,"<p>Saṅkaṭā Ilānani, historical image, view from E; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: Carl <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/pruscha/titleCreatorYear/items/Q528C497/item-list""><strong>Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p. 157 (P-109)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
0ab6d1d5-0500-422e-911e-76786d1eac92,None,054498ec-d633-11e9-beea-0242ac140006,/files/uploadedfiles/LAL1100_H_ca.1970.jpg,"<p>Micchu Bāhāḥ, view from NE; photo by John C. Huntington; 1970; courtesy of the John C. and Susan L. Huntington Photographic Archive of Buddhist and Asian Art; free access &ndash; no reuse; source: <a href=""https://dsal.uchicago.edu/cgi-bin/huntington/show_detail.py?ObjectID=18153"" target=""_blank""><strong>The Huntington Archive</strong></a></p>
","<p>Please visit <a href=""https://dsal.uchicago.edu/cgi-bin/huntington/browse_hub.py?browseType=keyword&amp;listOfKeyWords=Baha&amp;start_hit=351"" target=""_blank""><strong>the Huntington Archive</strong></a> for more photos of this Temple.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
963fdda1-4db8-4be9-9cb8-cbef88e94b6c,None,054498ec-d633-11e9-beea-0242ac140006,/files/uploadedfiles/LAL1100_H_1973.jpg,"<p>Micchu Bāhāḥ, historical image (photo by Carl Pruscha, ca. 1974)</p>
","<p>Source<strong>: </strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/Q528C497"" target=""_blank""><strong>Pruscha</strong></a> 1975, vol. 2, p. 157 (P-110)</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
534c085e-323b-44bd-a6ae-5cfcb0653b6c,None,054498ec-d633-11e9-beea-0242ac140006,/files/uploadedfiles/LAL1100_H_1985.jpg,"<p>Micchu Bāhāḥ, historical image (photo by Hugh R. Downs, ca. 1970-85)</p>
","<p>Source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/Locke"" target=""_blank""><strong>Locke</strong></a> 1985, 53.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
d8bcacda-6010-4679-91a0-2b5468c87393,None,068cb560-e748-11e9-b125-0242ac130002,/files/uploadedfiles/LAL0901.jpg,"<p>Thyākā Bāhāḥ, historical image (photo by Hugh R. Downs, ca. 1970-84)</p>
","<p>Source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/Locke"" target=""_blank""><strong>Locke</strong></a> 1985, 62</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
64ef3198-d7f3-49c7-afa3-67a85a5f5776,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_19910127_01.jpg,"<p>Dupāt Capāḥ, view from SE; photo by Stanislaw Klimek;1991-01-27; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Niels <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SSJP3PFI/q/gutschow"" target=""_blank""><strong>Gutschow</strong></a>, Architecture of the Newars, 2011, vol. 2, p. 639</p>

<p>&nbsp;</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
c9c3bc1d-dd78-484b-af06-a22e5eb738bd,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_19930000_05.jpg,"<p>Dupāt Capāḥ, view from S; unknown; 1993; courtesy of Alina Maharjan; free access &ndash; no reuse</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
d9bcf8ec-9db5-4d98-ad63-1283068cce0b,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_20000000_04.jpg,"<p>Dupāt Capāḥ, view from SE; photo by Niels Gutschow; 2000; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Unpublished GTZ/udle report for reconstruction</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
08aa46f9-63d2-439f-b9ad-5ea820d288fe,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_19930000_01.jpg,"<p>Dupāt Capāḥ, Dupāt square with slogan &#39;vote for sun&#39; written on the <em>caitya</em>, view from E; photo by Niels Gutschow; 1993; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Unpublished GTZ/udle report for reconstruction</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
0badc5a3-fab8-4797-89e7-f0c6de5fae58,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_20060324_01.jpg,"<p>Dupāt Capāḥ, view from E; photo by Stanislaw Klimek; 2006-03-24; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Niels <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SSJP3PFI/q/gutschow"" target=""_blank""><strong>Gutschow</strong></a>, Architecture of the Newars, 2011, vol. 2, p. 639</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
194d8897-203e-49fa-b3f1-085ca8c13e95,None,06a4360c-e5ec-11e9-b125-0242ac130002,/files/uploadedfiles/LAL4076_H_19760000_01.jpg,"<p>Dupāt Capāḥ people gathering at Dupāt Square, view from E; photo by Niels Gutschow; 1976; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Unpublished GTZ/udle report for reconstruction</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
b84dc17b-68d5-4def-a410-e013ab3842f0,None,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,/files/uploadedfiles/KAT0920_H_ca.19740000_01.jpg,"<p>Bhīmasena Mandira, view from NE; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/prusc/titleCreatorYear/items/Q528C497/item-list"" target=""_blank""><strong>Carl Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p. 36 (K-92)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
bfaf54c2-46ec-421b-9d2d-871ca3585309,None,0826cd5e-f3e4-11e9-a3c8-0242ac130002,/files/uploadedfiles/LAL0260_H_1985.jpg,"<p>Jena Bāhāḥ, historical image (photo by Hugh R. Downs, ca. 1980s)</p>","<p>Source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/LOCKE"" target=""_blank""><strong>Locke</strong></a>&nbsp;1985, 153.</p>",0,,2ab25702-9323-11e9-8381-0242ac120006
9aa3c13e-0310-4775-ab11-dd2811dfac94,None,08473132-9181-44fe-8412-4d89e5dd27e4,/files/uploadedfiles/SRK0041_H_20140921_03.jpg,"<p>Uttaragaṅgā&nbsp;Pillar, detail of the base, view from east; photo by David C. Andolfatto; 2014-09-21</p>
","<p>The base of the pillar contains a V-shaped motif that remains difficult to interprete.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
af3a112c-5502-4bef-8b54-58b4796729a4,None,08473132-9181-44fe-8412-4d89e5dd27e4,/files/uploadedfiles/SRK0041_H_20140921_04.jpg,"<p>Uttaragaṅgā&nbsp;Pillar, view from west; photo by David C. Andolfatto; 2014-09-21</p>
","<p>The image of the horse, in the upper register, is very eroded.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
52c6288c-f8f5-4339-bcc5-11d6167eee16,None,08473132-9181-44fe-8412-4d89e5dd27e4,/files/uploadedfiles/SRK0041_H_20140921_02.jpg,"<p>Uttaragaṅgā&nbsp;Pillar,&nbsp;detail of the horse carving, view from east; photo by David C. Andolfatto; 2014-09-21</p>
","<p>The carving shows a level of craftmanship&nbsp;that is rarely met on memorial pillars of the Karnali basin during the medieval period.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
57e3e960-521d-4b2e-ac1f-4344ab2c3622,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280.jpg,"<p>Ubāhāḥ Bahī, historical image; photo by Hugh R. Downs; ca. 1970-1985; free access &ndash; no reuse; source: John <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/Locke"" target=""_blank""><strong>Locke</strong></a>, Buddhist Monasteries of Nepal, 1985, p. 200</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
b5314ba2-53bc-4d32-a206-37dddb92cc0f,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280_H_20140611_01.JPG,"<p>Ubāhāḥ Bahī, under reconstruction, view from&nbsp;W; photo by&nbsp;Bruce Owens; 2014;&nbsp;courtesy of Bruce Owens; free access &ndash; no reuse</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
62052d7d-d10d-43f9-bd8e-4b9cf07d76ae,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280_H_20080626_01.JPG,"<p>Ubāhāḥ Bahī, before reconstruction, view from W; photo by&nbsp;Bruce Owens; 2008;&nbsp;courtesy of Bruce Owens; free access &ndash; no reuse</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
df338f63-929b-4ce1-8a7e-8519cfcbe75c,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280_H_20080626_02.JPG,"<p>Ubāhāḥ Bahī, before reconstruction, view from W; photo by&nbsp;Bruce Owens; 2008;&nbsp;courtesy of Bruce Owens; free access &ndash; no reuse</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
f69c7a8d-0b4f-406c-be56-143c73c51d7e,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280 inv img.jpg,"<p>Ubāhāḥ Bahī, historical image; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: Carl <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/Q528C497"" target=""_blank""><strong>Pruscha</strong></a>, Kathmandu Valley, 1975, vol. II, p. 192 (P-228)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
d0886d27-8a58-4322-bf02-ec32890a799a,None,09670bee-ec13-11e9-b125-0242ac130002,/files/uploadedfiles/LAL2280_H_2011.jpg,"<p>Ubāhāḥ Bahī, historical image; photo by Stanislaw Klimek; courtesy of Niels Gutschow; free access &ndash; no reuse; source: Niels <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SSJP3PFI/q/gutschow"" target=""_blank""><strong>Gutschow</strong></a>, Architecture of the Newars, 2011, vol. 2, p. 710</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
031ee601-9747-42d8-a252-0592d7de48e5,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_1967.jpg,"<p>Bhurtī Ekledevala 2, view from south; photo by Marc Gaborieau, 1967;&nbsp;courtesy of Marc Gaborieau; free access &ndash; no reuse</p>
","<p>Temple DLK0011&nbsp;is the second temple in the foreground. It is slightly taller than the monument in the foreground (DLK0010).</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
2a32a124-564f-4ead-a3f5-5937e04ee25c,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_04.jpg,"<p>Bhurtī Ekledevala 2, view from east; photo by David C. Andolfatto; 2014-09-24</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
6cf9039a-b2bd-47c6-882f-dda8326f2bbb,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_07.jpg,"<p>Bhurtī Ekledevala 2, ceiling; photo by David C. Andolfatto; 2014-09-24</p>
","<p>The ceiling is decorated with a carved flower pattern.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
b53a7d5e-2418-4666-b680-0cf66dae3a11,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_02.jpg,"<p>Bhurtī Ekledevala 2, view from west; photo by David C. Andolfatto; 2014-09-24</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
097b193d-0312-44ca-a34f-fc837d81902c,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_03.jpg,"<p>Bhurtī Ekledevala 2, view from north; photo by David C. Andolfatto; 2014-09-24</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
74627dc1-b8a0-4aab-8cd7-d9ac2ded2f0f,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_06.jpg,"<p>Bhurtī Ekledevala 2, sanctum, view from south; photo by David C. Andolfatto; 2014-09-24</p>
","<p>The pavement of the sanctum shows that it originally received a circular installation, most likely a&nbsp;<em>śivaliṅga </em>with a circular <em>jalaharī</em>.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
4500cf41-9ce5-43f0-bb2b-43f30063716e,None,09adaf39-4932-4356-b6d1-3cce3af16e82,/files/uploadedfiles/DLK0011_H_20140924_05.jpg,"<p>Bhurtī Ekledevala 2, door, view from south; photo by David C. Andolfatto; 2014-09-24</p>
","<p>A flower motif is carved on the central part of the lintel.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
58d3a41e-97c4-4dc5-9956-5a2fae225b73,None,0b26d633-56f8-4872-859c-76d7f7c0677d,/files/uploadedfiles/LAL0861_H_ca.19840000_01.jpg,"<p>Unaca Bhājubala Bāhāḥ, view from NE; photo by Hugh R. Downs; 1970-84; courtesy of John Locke; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>John Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 59</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
c5f69475-8d5b-4db5-88b9-f4d34cf53099,None,0b875a50-e754-11e9-b125-0242ac130002,/files/uploadedfiles/LAL1700.jpg,"<p>Śaṅkhadhara Bāhāḥ, historical image; photo by Hugh R. Downs; 1970-1984; free access &ndash; no reuse; source: John Locke, <em>Buddhist Monasteries of Nepal</em>, 1985, p.75</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
c227e8a7-0525-4052-993b-ede8356575cf,None,0b875a50-e754-11e9-b125-0242ac130002,/files/uploadedfiles/LAL1700 inv img.jpg,"<p>Śaṅkhadhara Bāhāḥ, historical image; photo by Carl Pruscha; ca.1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: Carl Pruscha, <em>Kathmandu Valley</em>, 1975, vol. II, p. 176 (P-170)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
224ee1c1-10c2-458f-90d7-199d073de915,None,0bb01539-043b-4538-a59f-132ef7bd578d,/files/uploadedfiles/SRK0070_H_20140922_02.jpg,"<p>Lekhagāũ Pillar, view from north-east; photo by David C. Andolfatto; 2014-09-22</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
d056d0e4-4d2d-40d1-99b7-6850e6405e43,None,0bb01539-043b-4538-a59f-132ef7bd578d,/files/uploadedfiles/SRK0070_H_20140922_04.jpg,"<p>Lekhagāũ Pillar, view from north&nbsp;photo by David C. Andolfatto; 2014-09-22</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
62bdbff9-9b0f-48fd-aff8-7d336121e51f,None,0bb01539-043b-4538-a59f-132ef7bd578d,/files/uploadedfiles/SRK0070_H_20140922_03.jpg,"<p>Lekhagāũ Pillar, detail of the base, view from north-east; photo by David C. Andolfatto; 2014-09-22</p>
","<p>Detail of the base showing eroded decorative patterns.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
c3ce0319-41be-489e-b0a5-59f1ecda93a2,None,0be328fe-020b-11ea-a389-0242ac130002,/files/uploadedfiles/SUN4011_h_1990s.jpg,"<p>Dampāchẽ Phalcā, view from N, photo by anonymous; c. 1990s&nbsp;</p>
","<p>The photograph has been sourced by Padma Maharjan. It also shows Nāmasaṅgīti Phalcā (<a href=""https://danam.cats.uni-heidelberg.de/resource/5e94853e-0756-11ea-b2c1-0242ac130002"">SUN4010</a>)</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
8d1f02a8-09d9-4340-8982-dbce7a1ae581,None,0c6b269c-e676-11e9-8bc4-0242ac130002,/files/uploadedfiles/LAL1361_H_1863 Comyn Taylor.jpg,"<p>Maṇimaṇḍapa South (left) and Maṇimaṇḍapa North (right), view from E (photo by Clarence Comyn Taylor, 1863)</p>
","<p>Source: Royal Geographical Society, img ID: S0003109</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
08bd7623-e8bd-45fc-9014-de21935579b9,None,0cbfabb8-e699-11e9-b125-0242ac130002,/files/uploadedfiles/LAL0140 inv img.jpg,"<p>Nhāyk&atilde; Bahī, view from NW;&nbsp;photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: Carl Pruscha, <em><a href=""http://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"">Kathmandu Valley,</a></em> 1975, vol. II, p. 134 (P-14)&nbsp;</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
f86864dc-7d6b-4427-8a77-d73f48af1532,None,0cbfabb8-e699-11e9-b125-0242ac130002,/files/uploadedfiles/LAL0140.jpg,"<p>Nhāyk&atilde; Bahī, view from SW; photo by Hugh R. Downs; ca. 1970-1985; free access &ndash; no reuse; source: John Locke, <em><a href=""http://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/Locke"">Buddhist Monasteries of Nepal</a></em>, 1985, p. 218.&nbsp;</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
36e6c5d1-5a72-4535-b423-ea1d0f316eda,None,0cbfabb8-e699-11e9-b125-0242ac130002,/files/uploadedfiles/LAL0140_H_ca.1970.jpg,"<p>Nhāykã Bahī, view from NW; photo by John C. Huntington; 1970; courtesy of the John C. and Susan L. Huntington Photographic Archive of Buddhist and Asian Art; free access &ndash; no reuse; source: <a href=""https://dsal.uchicago.edu/cgi-bin/huntington/show_detail.py?ObjectID=18843"" target=""_blank""><strong>The Huntington Archive</strong></a></p>
","<p>Please visit <a href=""https://dsal.uchicago.edu/cgi-bin/huntington/browse_hub.py?browseType=keyword&amp;listOfKeyWords=nepal&amp;start_hit=951"" target=""_blank""><strong>the Huntington Archive</strong></a> for more photos of this Temple.</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
0b0e6b2f-2705-41ec-9a28-3e10d0d5179f,None,0d480c66-3e6d-11ea-b44d-0242ac130006,/files/uploadedfiles/LAL0570_H_1975.jpg,"<p>Pulcoka Lohãhiti, historical image (photo by Karl Pruscha, ca. 1973-74)</p>
","<p>Source:&nbsp; <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/Q528C497"" target=""_blank""><strong>Pruscha</strong></a> 1975, vol. 2, p. 143 (P-57)</p>
",0,,2ab25702-9323-11e9-8381-0242ac120006
c3fb3b0a-62ca-4dd3-8265-9ec1d72c3257,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,/files/uploadedfiles/KAT1230_H_ca.19740000_02.jpg,"<p>Tārā Nani, view from SE; photo by Carl Pruscha; 1973&ndash;1974; courtesy of Carl Pruscha; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/prus/titleCreatorYear/items/Q528C497/item-list"" target=""_blank""><strong>Carl Pruscha</strong></a>, <em>Kathmandu Valley</em>, 1975, vol. II, p. 45 (K-123)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
09ef3a14-6da2-452c-88b0-7f22c91a123a,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,/files/uploadedfiles/KAT1230_H_ca.19840000_01.jpg,"<p>Tārā Nani, view from SE; photo by Hugh R. Downs; 1970-84; courtesy of John Locke; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>John Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 289</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
4b666f11-7bfe-4f67-b821-a7539697898f,None,109ab54a-e9a3-11e9-8bc4-0242ac130002,/files/uploadedfiles/LAL4005_HP_20140311_01.jpg,"<p>Pinchẽ Phalcā 2, view from NE (photo by&nbsp;Christiane Brosius, March 2014)</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
fc32fcf8-a569-4450-bc8d-e8ebd13686c4,None,10afc076-5274-4ad9-9023-94b8c25893aa,/files/uploadedfiles/KAT2610_H_ca.19840000_01.jpg,"<p>Kuladīpā Bāhāḥ, view from ..; photo by Hugh R. Downs; 1970-84; courtesy of John Locke; free access &ndash; no reuse; source: <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/locke/titleCreatorYear/items/5A9SNX3X/item-list"" target=""_blank""><strong>John Locke</strong></a>, <em>Buddhist Monasteries of Nepal</em>, 1985, p. 414</p>
",,0,,2ab25702-9323-11e9-8381-0242ac120006
