tileid,parenttile_id,resourceinstance_id,Object name,Object image,Object image caption,object short description,Object identification number,sortorder,provisionaledits,nodegroup_id
8988d68b-0c1a-44c4-9395-3a7a445dca61,48835a64-e318-4ac3-9e4d-31217501ac07,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Amitābha,/files/uploadedfiles/KAT0820-008_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Amitābha inside a shrine attached to the western side of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-008,0,,4b849918-9eea-11e9-8b93-0242ac120006
067f731e-5b40-472b-834b-4396d86088a5,0312bde4-7804-47d5-bdec-ea664ee87703,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Amitābha,/files/uploadedfiles/KAT0820-012_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Amitābha inside a shrine attached to the north-eastern side of the Caitya, view from NE; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-012,0,,4b849918-9eea-11e9-8b93-0242ac120006
15dfa109-87b3-4f53-aa8e-7b1b755d2d12,969bac41-da69-4ec9-9d30-276108de1b1c,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Lukumahādyaḥ ,/files/uploadedfiles/KAT0820-013_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>lukumahādyaḥ </em>on the courtyard (southern side of&nbsp;the Caitya), view from S; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-013,0,,4b849918-9eea-11e9-8b93-0242ac120006
6184e634-5492-4f9f-921e-a9ca97eb8bcf,bfef4c84-d1a5-465b-aaf6-2997158b35c4,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Dharmadhātujinālaya Caitya,/files/uploadedfiles/KAT0820-014_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, Dharmadhātujinālaya Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-014,0,,4b849918-9eea-11e9-8b93-0242ac120006
67cb6ccd-0dbc-48d7-888c-13c57a9ba9dc,c1c6f9d2-319b-4d30-97df-406ad0f9d720,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Pañcāvalīyukta Caitya,/files/uploadedfiles/KAT0820-015_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, Pa&ntilde;cāvalīyukta Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-015,0,,4b849918-9eea-11e9-8b93-0242ac120006
d8bddacc-80f8-43f3-ba0c-cdbc2f0952ab,1a4c3e15-d3d2-49ec-bd0b-4a995310ae42,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Vajra,/files/uploadedfiles/KAT0820-018_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>vajra </em>and other figures&nbsp;on the western plinth of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-018,0,,4b849918-9eea-11e9-8b93-0242ac120006
e1b9668c-0b10-4085-be04-84864166a1bf,3b172b2c-29e4-4325-8284-7b3ed520a34a,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Kalaśa,/files/uploadedfiles/KAT0820-019_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>kalaśa </em>on the western plinth of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-019,0,,4b849918-9eea-11e9-8b93-0242ac120006
4774c0f7-52fe-4114-8583-c35f965c769c,0dc04425-6166-4e8a-a51e-a25b02213eba,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Viśvavajra,/files/uploadedfiles/KAT0820-020_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>viśvavajra </em>on the western plinth of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-020,0,,4b849918-9eea-11e9-8b93-0242ac120006
9f01d612-d681-4f98-aa85-d836ba73eee8,d586bdeb-7cec-4d59-ab37-36a735e87237,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,śaṅkha ,/files/uploadedfiles/KAT0820-021_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>śaṅkha </em>on the western plinth of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-021,0,,4b849918-9eea-11e9-8b93-0242ac120006
05789788-cb5d-44e3-9fc3-a125e70170c5,e4987b2d-17c7-43ce-a93d-45d01b32c56b,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Viśvavajra ,/files/uploadedfiles/KAT0820-003_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Viśvavajra inside a shrine attached to the south-eastern side of the Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-003,0,,4b849918-9eea-11e9-8b93-0242ac120006
b08c670a-e8e5-424c-b22d-6550e255601d,a0c60f2e-2237-49c8-9bba-0e8b2cb0f8ca,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Cakra ,/files/uploadedfiles/KAT0820-004_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>cakra</em> inside a shrine attached to the south-eastern side of the Caitya, view from SE; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
f015b3d3-ade1-46b8-a638-4f74ee436f7c,4c4a6b1b-d23d-42a5-a092-2e5b963f9f29,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Ratnasambhava ,/files/uploadedfiles/KAT0820-005_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Ratnasambhava inside a shrine attached to the southern side of the Caitya, view from S; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-005,0,,4b849918-9eea-11e9-8b93-0242ac120006
36592639-2a4b-4678-9cdc-25cab5eae5e2,5ba1af6e-6b57-4e32-a1b9-c999b0ad3771,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Padma,/files/uploadedfiles/KAT0820-009_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>padma </em>inside a shrine&nbsp;at the north-western side of the Caitya, view from NW; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-009,0,,4b849918-9eea-11e9-8b93-0242ac120006
68283b87-3c2e-4067-b72f-2156ec83fd01,4d015b18-756b-47f1-862c-4cec8c983f42,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Amoghasiddhi ,/files/uploadedfiles/KAT0820-010_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, statue of Amoghasiddhi inside a shrine attached to the northern side of the Caitya, view from N; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-010,0,,4b849918-9eea-11e9-8b93-0242ac120006
f8c2cfe4-791c-4ea6-86df-cbba292e2c99,b3f2ce6d-851a-472a-9eb7-76685d4c7614,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Ratna,/files/uploadedfiles/KAT0820-011_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>ratna</em> inside a shrine attached to the north-eastern side of the Caitya, view from NE; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-011,0,,4b849918-9eea-11e9-8b93-0242ac120006
13857736-c50e-4bfd-a03a-679238f5e379,dc46a85d-a10a-4eb1-a88d-db57b0b753f4,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Dharmadhātujinālaya Caitya,/files/uploadedfiles/KAT0820-016_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, Dharmadhātujinālaya Caitya, view from S; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-016,0,,4b849918-9eea-11e9-8b93-0242ac120006
77fa05ff-9366-4de6-ab51-6521e0669299,253c507f-dde4-47cc-ad37-11866f4167d6,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Vajra,/files/uploadedfiles/KAT0820-017_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, <em>vajra </em>on the western plinth of the Caitya, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
",,KAT0820-017,0,,4b849918-9eea-11e9-8b93-0242ac120006
5b76169d-ef3a-4dc0-8892-ae69c2ba0261,cb67ede6-93e1-4243-ba30-2f031561cfe3,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Śāntipura ,/files/uploadedfiles/KAT0820-022_P_20210807_01.jpg,"<p>Tukaṃ Bāhāḥ Caitya, Śāntipura on the northern side of the courtyard, view from W; photo by Yogesh Budathoki; 2021-08-07</p>
","<p>A <em>kalaśa </em>flanked by Ganeśa and Kumāra can be seen on the bottom of the shrine.</p>
",KAT0820-022,0,,4b849918-9eea-11e9-8b93-0242ac120006
711a5c0c-c1dc-439c-a535-3b489410585e,0337745d-4039-4f19-b27d-2af52d5aa78c,02509f50-336d-423f-ac40-60dffc2d905c,Akṣobhya,/files/uploadedfiles/LAL1880-001_P_20200804_01.jpg,"<p>Bhindyaḥ Bāhāḥ, stone statue of Akṣobhya as the principal deity of the Bāhāḥ in the sanctum, view from W<big><small>; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
",,LAL1880-001,0,,4b849918-9eea-11e9-8b93-0242ac120006
e7c6ec25-7f1c-45f2-83e7-a9c787fb22ad,703dd1ae-15a4-4710-9bdf-e5c8f2ef5735,02509f50-336d-423f-ac40-60dffc2d905c,Hanumāna,/files/uploadedfiles/LAL1880-005_P_20200804_01.jpg,"<p><big><small>Bhindyaḥ Bāhāḥ, aniconic niche worshipped as Hanumān, view from N; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
",,LAL1880-005,0,,4b849918-9eea-11e9-8b93-0242ac120006
1a18cc82-0545-4e1a-b64c-d0ead14c868f,af41718b-653e-404a-927e-4863278866d7,02509f50-336d-423f-ac40-60dffc2d905c,Mahākāla,/files/uploadedfiles/LAL1880-004_P_20200804_02.jpg,"<p><big><small>Bhindyaḥ Bāhāḥ, detail of stone statue of Mahākāla on the niche, view from S; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
","<p>This four-armed Mahākāla is holding a sword (<em>khaḍga</em>) with his two right hands, a <em>khaṭvāṅga </em>and <em>kapāla </em>with his two left hands.</p>
",LAL1880-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
eb44da30-9d59-4240-b472-0837c688f1c1,e46583b4-9464-4896-826d-bb2de45d621e,02509f50-336d-423f-ac40-60dffc2d905c,Śikharakūṭa Caitya,/files/uploadedfiles/LAL1880-002_P_20200804_01.jpg,"<p><big><small>Bhindyaḥ Bāhāḥ, Śikharakūṭa Caitya, view from NE; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
","<p>This Caitya is established in the Bāhā&rsquo;s courtyard. The statues of four Bodhisattvas and four Buddhas were&nbsp;installed on the niches of its four cardinal directions when it was initially constructed. However, these images were stolen in due course of time, thus the empty niches of the Caitya were filled in with new statues in VS 2069.</p>
",LAL1880-002,0,,4b849918-9eea-11e9-8b93-0242ac120006
ffcceedc-0eae-49d8-8e11-5d7684fbd057,b7459dc9-c52a-45d7-bc44-78b8a53cd913,02509f50-336d-423f-ac40-60dffc2d905c,Dharmadhātu Maṇḍala,/files/uploadedfiles/LAL1880-003_P_20200804_01.jpg,"<p><big><small>Bhindyaḥ Bāhāḥ, Dharmadhātu Maṇḍala, view from N; photo by Yogesh Budathoki; 2020-08-04</small></big></p>
",,LAL1880-003,0,,4b849918-9eea-11e9-8b93-0242ac120006
fd7f1655-5439-4330-bcc4-cb58da35447d,981c7e62-ee6e-48c9-93ba-aea3e84b7822,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Gaṇeśa Shrine,/files/uploadedfiles/LAL1420-004_P_20181206_01.jpg,"<p>Nārāyaṇa Mandira at Kulimā, Gaṇeśa shrine, view from S (December 2018)</p>
",,LAL1420-004,0,,4b849918-9eea-11e9-8b93-0242ac120006
