tileid,parenttile_id,resourceinstance_id,social activity description,social activity name,social activities reference types,social activities references,sortorder,provisionaledits,nodegroup_id
f9fa0cda-6e77-46d9-a35c-8c67ed903cb6,56e1f7ba-56f3-4c30-b489-97a48bc033e7,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p>Every year on the seventh day of the bright fortnight of Phālguna, a special worship is organised from the&nbsp;Tukaṃ Bāhāḥ Bauddha Caitya Saṃrakṣaṇa Samiti to celebrate the completion of the renovation of the Caitya which had taken place in 1614 CE.</p>
",Worship in remembrance of the renovation,,"<p>Local resident from a Maharjana caste, male, age 78</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
74e905d6-c036-481f-9566-7e295e1ab562,8efd8ff3-00fb-4122-ab17-a786ae4ee8ba,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p>Previously, some Śreṣṭha family members (who were believed to be the decedents of the founder of the Caitya) used to paint the Caitya and perform annual rituals on the full moon day of Maṅsīra (Yaḥmaripunhi). However, this tradition has already come to an end.</p>
",Annual worship,,"<p>Local resident from a Maharjana caste, male, age 78</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
4b68a389-3450-428b-ba74-88403a001fc8,1a704ff3-2e54-4245-8015-27fa07b684c0,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,"<p>Every year on the 14th day of the dark fortnight of Caitra, Lukumahādyaḥ (see object number KAT0820-013 above) is worshipped.</p>
",Worship of Lukumahādyaḥ,,"<p>Local resident from a Maharjana caste, male, age 78</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
e49c7f22-f8f5-40ad-b958-6141e7e3b6eb,939ce788-09e1-430e-b64e-e927de78d0ee,02509f50-336d-423f-ac40-60dffc2d905c,"<p>The members of its mother Bāhāḥ (Bhinche) worship the esoteric deity of this Bāhāḥ during the Diśipūjā, held every year on the 11<sup>th</sup> of the dark fortnight of Pauṣa.</p>
",Ritual for esoteric deity (āgamapūjā),,"<p>Local knowledge: President of Mayūravarṇa Mahāvihāra Sudhāra Samiti, Vajrācārya, male, age 38</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
4235cc44-b6cb-441f-968d-e7069d4d14b7,0a895f92-619f-4ee7-8ac9-c9841cfc7193,02509f50-336d-423f-ac40-60dffc2d905c,"<p>Before the Bāhāḥ was severely damaged by the 2015 earthquakes, a&nbsp;Vajrācārya family of Bhinche Bāhāḥ was living here and was responsible for running and maintaining it. At present (August 2015), the family has moved out and they come to the Bāhā only for the daily rituals.</p>
",Daily worship (nityapūjā),,"<p>Local knowledge: President of Mayūravarṇa Mahāvihāra Sudhāra Samiti, Vajrācārya, male, age 38</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
1685de70-3086-4685-b563-8b048027dbf8,6a08a17e-c59a-44cd-955f-f656c0e15523,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/XT76UK98/q/Pruscha"" target=""_blank""><strong>Pruscha</strong></a>&nbsp;(1975, 168) mentions a Brahmin as the&nbsp;chief priest. However,&nbsp;this custom of employing Brahmin priests has not been continued.</p>",Worship ,"Secondary literature,Local knowledge",,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
90f0c1d4-5b20-4ab2-b5f9-ade12a160b5f,28a8061c-27a3-425b-a508-176e1d68bff9,03ab0902-61c8-4458-8eee-f23e345d9372,"<p>Jośī clan members living in Bakhuṃ Bāhāḥ used to distribute <em>samayabaji</em> from this Phalcā&nbsp;during the annual Indrajātrā festival (on the full moon day of Bhādra)&nbsp;until the monument collapsed in 1934. Since then, this tradition no longer takes place.</p>
",Distribution of samaybaji,,"<p>Local knowledge: one of the descendants of the donor of the Phalcā, Jośī, male, age 76</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
3dc183fa-8f6b-4cb3-8853-aa1a78599b4e,89492641-825a-4d5a-9d74-9b3e91b406f0,049dc399-08e2-47c4-85b9-e66851694e69,"<p>A family of the Mahābū clan from Mahābuddha Mandira used to run and maintain the Bāhāḥ including the performance of the daily and anniversary rituals. After the family&nbsp;moved out from the Bāhāḥ, these rituals came to an end.</p>
",Daily worship (nityapūjā),,"<p>One of the <em>saṅgha </em>members of the Bāhāḥ from a Śākya caste, male, age 37</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
0a19c7d4-22ef-4760-be67-ca9f904661d1,2c37723f-4645-4e0e-b1d7-071a57d04301,049dc399-08e2-47c4-85b9-e66851694e69,"<p>The family living in the Bāhāḥ (see the &lsquo;Social and Religious Activities&rsquo; above) used to perform the anniversary rituals on the eigth&nbsp;day of the bright fortnight of Maṅsīra. After the family left the place, these rituals&nbsp;came to an end.</p>
",Anniversary (varṣavardhana),,"<p>One of the <em>saṅgha </em>members of the Bāhāḥ from a Śākya caste, male, age 37</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
3665b6da-88ed-468e-a400-c602c616c21c,27ff80fe-6ad0-442f-9f2a-7cf9ca2bf887,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>Only the families of Cakreśvara have the right to&nbsp;left-over offerings and the income generated by Śaṅkaṭā Ilānani. A large number of devotees regularly come to&nbsp;visit to Śaṅkaṭā and offer&nbsp;him various ritual materials and sacrificial donations. Devotees tend to come&nbsp;mainly on Tuesdays and Saturdays.&nbsp;</p>
",Right to income,,"<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
49bdcd02-f80a-4a02-8f47-249c12e9fdc5,af37206d-52bc-4b40-958f-3d83c15855e8,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The twenty <em>āḥjus </em>of Śaṅkaṭā Ilānani erect a ritual pole (<em>yaḥsĩ</em>) for the Samyak Festival which is celebrated on the 3<sup>rd</sup> and 4<sup>th</sup> lunar days of the bright fortnight of Phāguna (in every five years) at Nāga Bāhāḥ. They start erecting such a pole a week before the festival starts. Once it is over, the <em>āḥjus </em>consume <em>pa&ntilde;cāḥkū</em> on the day when the pole is dismantled. It is then stored underneth the struts of Saṅkaṭā Ilānani.</p>
",Erecting yaḥsĩ,,"<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
751e8636-997f-48c1-9d7d-1ff309e95fad,8500242e-c2c5-45d7-a5f0-d650581258f2,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>Amātyas of Naḥ Bāhāḥ and Sāḥlã Ṭola who are the members of their Sanāḥ Guṭhī worship Cakrasamvara at Śaṅkaṭā Ilānani on the day of Śivarātrī. It is interesting to note that the Amātyas are permitted to enter the secret ritual arena on this day, which is completely closed for the general public. The Amātya caste fellows and Cakreśvara of Saṅkaṭā Ilānani attend a joint feast organized after the worship on its upper floor.</p>
",Offering to Cakrasamvara by the Amātya clan members ,,"<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
45f652f2-f704-4fdb-93d4-a80b18d63a31,d43ae40b-e98e-4c7b-990f-079a381d8d9b,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>A library was established in the northern section of the Nani in VS 2025 (1969 CE) and can still be found there today.</p>
",Library ,,"<p>Local resident, Vajrācārya, male, age 69</p>

<p>&nbsp;</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
ca9c37e2-0dfa-4099-a756-69f14217547b,e00eb695-8ec4-4581-afac-08aee5bfe80a,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The Cakreśvara (usually the most&nbsp;senior Vajrācārya member) is responsible for&nbsp;performing the daily worship of Cakrasaṃvara and Śaṅkaṭā.</p>
",Daily worship (nityapūjā),,"<p>One of the senior members (<em>āḥju</em>), Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
e8eb7ac6-b712-482d-be72-af1cb435cced,4def7b3c-676c-4045-be48-45251c8ec9cb,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The Cakreśvara (usually the most senior member of the group)&nbsp;worships Cakrasaṃvara and Saṅkaṭā on every new moon day (<em>aũśī</em>) and organises a feast. A committee formed to work on the Saṃkaṭā Ilānani has&nbsp;sponsored this&nbsp;feast since VS 2076.</p>
",Ritual on every new moon day (amāipūjā),,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059,32</p>

<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
cd6de65f-d59e-4eae-8b0d-b51f5908853c,3a6341e1-e21a-4eda-822e-f90a2b4f4bd7,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The Cakreśvara (usually the most senior member of the group)&nbsp;performs a special ritual (called <em>disipūjā</em>) to please Cakrasaṃvara and Saṅkaṭā on the 10<sup>th</sup> of the dark fortnight of every Maṅsīra. He also&nbsp;organises a feast on this occasion. A committee formed to develop the Saṃkaṭā Ilānani has sponsored this feast since VS 2076.</p>
",Disipūjā,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059,32</p>

<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
a8d422cd-94b2-4690-872b-63fcdd9c0700,5349499b-eaba-46f0-8a05-9eea98c146bc,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The Cakreśvara (usually the most senior member of the <em>āḥjus</em>)&nbsp;performs a special ritual (called <em>mohanīpūjā</em>) to please Cakrasaṃvara and Saṅkaṭā on the 8<sup>th </sup>day of the Dasaĩ festival. He also&nbsp;organises a feast on this occasion.&nbsp;The four youngest member of the&nbsp;<em>āḥjus&nbsp;</em>used to sponsor this ritual and feast. However, a committee formed to develop the Saṃkaṭā Ilānani has sponsored this feast since VS 2076</p>
",Special ritual on the 8th day of Dasaĩ (mohanīpūjā),,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059,32</p>

<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
1a12d801-db18-40be-bc14-ad45bedf9ad0,e66b8ad6-1cbb-496d-a969-e44452e53775,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The Cakreśvara (usually the most senior member of the <em>āḥjus</em>)&nbsp;performs a special ritual (called <em>dillāpūjā</em>) to please Cakrasaṃvara and Saṅkaṭā on the full moon day of every Śrāvaṇa.&nbsp;He also&nbsp;organises a feast on this occasion.</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
",Special ritual on the full moon day of Śrāvaṇa,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059,32</p>

<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
8c394221-0341-4334-939f-47ceeb9f7ee5,10ab5650-6d45-47ba-966e-aa8897e24cca,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>The <em>saṅgha</em> of Kvā Bāhāḥ consists of 5000 members and is called Yambāḥ Saṅgha. A grand feast is organised in the courtyard of this Nani on the 10<sup>th</sup>&nbsp;day of the bright fortnight of every Kārtika. Around 2000 to 2500 <em>saṅgha</em> members attend the feast.</p>
",A grand feast for saṅgha members,,"<p>Two of the seniormost members, Vajrācārya, male, age 59 and 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
40648841-8b8c-4323-80a8-b2425ddb1c57,5b678f9f-42fb-4f36-84ad-927d650b0599,04e62546-0b04-41d7-9651-12189c45e5c6,"<p>Members of Yambāḥ Saṅgha may rent the Nani&#39;s upper floor to&nbsp;organise a private feast for&nbsp;an initiation, <em>ihī, bāhrāḥ</em>&nbsp; or any other such ritual which takes place in&nbsp;the premises of the&nbsp;Nani.</p>
",Private feasts in the upper floor,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059,34</p>

<p>One of the seniormost members, Vajrācārya, male, age 63</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
cdab32f4-b489-4881-98af-f620c8140fe4,d018028a-cae7-4378-ac72-fb2943e7453e,054498ec-d633-11e9-beea-0242ac140006,"<p>The annual worship (<em>varṣavardhanapūjā</em>) and a feast (<em>saṅghabhojana</em>) are both organised on the 8th of the dark fortnight of Āśvina.&nbsp;</p>
",Annual worship and feast,Local knowledge,"<p>Śākya, <em>saṅgha </em>member, male, 42</p>

<p>&nbsp;</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
1cfe4484-21e1-4066-a14e-7c27757b533d,7679b8ab-c094-480a-9ec0-b5144d1eb942,054498ec-d633-11e9-beea-0242ac140006,"<p>An umbrella is offered to the <em>durgatipariśodhana&nbsp;caitya&nbsp;</em>every year on the 10th day of the bright fortnight of Āśvina.</p>
",Offering of an umbrella,Local knowledge,"<p>Śākya, <em>saṅgha </em>member, male, 42</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
f360bcd8-44b1-4c2d-9beb-4794463f5d94,f1a3214d-e866-44f8-a210-cec314faeec0,054498ec-d633-11e9-beea-0242ac140006,"<p>The statue of <em>kvāḥpāḥdyaḥ</em> in Hiraṇyavarṇa Vihāra is brought from Piṅgala Vihāra of&nbsp;Chabahil,&nbsp;Kathmandu. The people who first brought the statue requested the then king to give them a place to stay nearby&nbsp;the <em>kvāḥpāḥdyaḥ</em>. He permitted&nbsp;them to found a <em>vihāra </em>behind the Hiraṇyavarṇa. The <em>nola </em>(wooden pole) which was used to bring the statue&nbsp;is still preserved inside the <em>āgama </em>of Micchu Bāhāḥ.</p>

<p>&nbsp;</p>
",Procession of the kvāḥpāḥdyaḥ,Local knowledge,"<p>Śākya, <em>saṅgha </em>member, male, 42&nbsp;</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
d3ede051-f447-49c6-bfc3-1a575f7484be,ebb171ab-53b4-4ced-8b64-fe1196e8813c,054498ec-d633-11e9-beea-0242ac140006,"<p>The initiated <em>saṅgha </em>members perform the daily ritual worship in turn. Each turn lasts for a month. Previously, the <em>saṅgha </em>members took turns every year&nbsp;(<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke </strong></a>1985, 52).&nbsp;</p>
",Daily worship,Local knowledge,"<p>Śākya,&nbsp;<em>saṅgha </em>member, male, 42</p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
e08c9c35-f0d0-4f89-9eaf-7873b6344b90,1f50d161-c2a5-4c41-be9b-dc57922dd042,05e2a35c-e8d5-11e9-8bc4-0242ac130002,"<p>On the first day of Indrajātrā, a portable metal&nbsp;<em>toraṇa</em>&nbsp;is exhibited at the temple. It is&nbsp;worshipped as Nṛtyeśvara&nbsp;by the local people.&nbsp;</p>
",Worship,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
8c24f392-bdcc-41e5-9e4b-5cddcf358f6a,5c3b1832-c2ef-4402-81a2-9e5c038aad2d,0687a32c-e7e8-11e9-8bc4-0242ac130002,"<p>The Sundhārā Ṭola&nbsp;Samiti looks after the Phalcā and&nbsp;keeps it&nbsp;closed nowadays. This is&nbsp;allegedly&nbsp;to prevent street children and homeless people&nbsp;from using it as a resting place or using it overnight repeatedly.</p>

<p>After the Umāmaheśvara temple&nbsp;(<strong>LAL1870</strong>,&nbsp;located near&nbsp;this Phalcā)&nbsp;collapsed in the 2015&nbsp;earthquake, some of the traditional materials salvaged from the rubble&nbsp;were stored&nbsp;in Nugaḥ Phalcā.</p>
",Organisation of the Phalcā,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
7717d630-3232-4882-97d7-84c2f8184b1a,1217cbb3-e864-4c8a-a729-4f336b842534,0687a32c-e7e8-11e9-8bc4-0242ac130002,"<p>Previously, devotees came to Nugaḥ Phalcā to light 108 butter lamps when the&nbsp;chariot of Buṅgadyḥ reached&nbsp;the junction at Sundhārā. Nowadays, however, the bays of the Phalcā&nbsp;are closed and the devotees may no longer&nbsp;sit in the Phalcā.</p>

<p>In 2006, the chariot of Buṅgadyḥ was badly damaged when it reached&nbsp;Sundhārā. The image of Buṅgadyḥ was temporarily placed in this Phalcā while the chariot was repaired.</p>
",Buṅgadyaḥ Jātrā,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
ad4fa61f-2275-48a3-8f39-eeb8df6bdce3,1f293ad7-b59a-4f65-82ec-878c749bc1cb,068cb560-e748-11e9-b125-0242ac130002,"<p>Three of the families of the two brothers who constructed the Bāhāḥ<em> </em>perfom its daily ritual worship.&nbsp;All three families perform <em>nitya pūja</em> every day rather than taking turns.</p>
",Daily worship,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
d08a9cdb-289f-4931-b3ae-d79c4748d46e,0dc7fde0-6923-49ad-9c5e-f188897f679c,068cb560-e748-11e9-b125-0242ac130002,"<p>Varṣavardhana <em>pūjā</em>: <em>varṣavardhana pūja</em> is performed&nbsp;anually, on the 12th day of the bright half of Āṣāḍha.&nbsp;Three families of two brothers take&nbsp;turns to&nbsp;organise&nbsp;it.</p>

<p>Priest&rsquo;s caste: Vajrācārya</p>
",Annual worship,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
1d8e0e00-423b-45f7-9462-6df76126695f,4078bf66-e353-48fe-a2a9-0530aed3f741,06a4360c-e5ec-11e9-b125-0242ac130002,"<p>Traditionally, people would&nbsp;go to the forest in the south of Lalitapur to select&nbsp;a long tree for use as <em>dha</em><em>ḥ</em><em>m</em><em>ā</em> (the long wooden part that is fixed on the bottom of a chariot) for the&nbsp;Buṅgadyaḥ chariot. This happens once every twelve years. A local Jyāpu community used to perform a&nbsp;<em>pūjā </em>inside the <em>capāḥ&nbsp;</em>for this purpose<em>.</em> After the tree is selected, it&nbsp;must be worshipped before it is&nbsp;cut down. The <em>guṭhī</em>&nbsp;must drag the tree to Lalitpur. This tradition is no longer observed&nbsp;by&nbsp;the Guṭhī&nbsp;Saṁsthāna.</p>
","Selectinga dhaḥmā
",Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
2969bf27-9d67-4e64-81c4-3d97076fe0f9,6f9ae06d-7171-4e2d-9c0f-ce14ff359eec,06a4360c-e5ec-11e9-b125-0242ac130002,"<p>Previously, tradition dictated that&nbsp;on the 9th day of the Mohanī&nbsp;(Dashain) festival, people would&nbsp;sacrifice&nbsp;chickens and ducks to Dupāt Gaṇeśa. The birds were sacrificed inside the shrine and their dead bodies were&nbsp;thrown to the Capāḥ Phalcā. The owners of the birds used to collect them in the <em>capāḥ</em>. &nbsp;</p>

<p>&nbsp;</p>
","Bird Sacrifice during Dashain
",Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
ed819ef2-099e-4339-a0a3-293cd535cbde,9bf10b3f-475d-450e-8de5-a6507aed189c,06a4360c-e5ec-11e9-b125-0242ac130002,"<p>Occasionally, flute and drum (<em>Bā̃surī&nbsp;</em>and <em>Dhimeb</em><em>ājā</em>) lessons&nbsp;are organised by the local Jyāpu&nbsp;community inside the <em>capāḥ</em><em>.&nbsp;</em>The <em>pūjā</em> of Nāsaḥdyaḥ takes place on the first floor&nbsp;and is also performed here when the community organises&nbsp;lessons in&nbsp;playing traditional&nbsp;musical instruments.</p>
","Music training and pūjā of Nāsaḥdyaḥ
","Secondary literature,Local knowledge",,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
fcf97ece-84b6-47c7-b09d-d7cc798a4c0c,9f10ab56-62eb-4f8b-934e-916593fef4ef,06a4360c-e5ec-11e9-b125-0242ac130002,"<p>There are regular&nbsp;performances of Nāmasaṅgīti Bhajans. The recent installation of the image of Ma&ntilde;juśrī Nāmasa&ntilde;gīti<em> </em>at the western wall of the <em>guthī</em><em>chẽ</em> has further increased the importance of the <em>phalcā </em>in terms of its daily use.</p>
",Nāmasaṅgīti Bhajan,Local knowledge,,0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
d47ffd3b-ed5c-4390-9691-16a2c05168c3,5532206f-97e4-4121-b0d0-e45801fd6475,06a4360c-e5ec-11e9-b125-0242ac130002,"<p>Traditionally,&nbsp;all <em>guṭhī</em>-members take part in a feast in the&nbsp;<em>capāḥ&nbsp;</em>on the 3rd day of the dark half of the&nbsp;month of&nbsp;Vaiśākha. Meat from a large <em>choelā </em>(grilled buffalo) is regarded as a special dish and is a required part of the menu for this event. Each piece of <em>choelā </em>weighs about 6 pounds.</p>
",Choelā Feast ,"Secondary literature,Local knowledge","<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/RR4D39XW/q/Maharjan"" target=""_blank""><strong><strong>Maharjan, Alina</strong> 2016</strong></a></p>
",0,,fb0a49c4-b8f7-11e9-b8a9-0242ac120007
