tileid,parenttile_id,resourceinstance_id,historical event reference image,historical event reference description,historical inscription identification ,historical event references source,historical event transliteration and translation,historical event image caption,historical event references type,sortorder,provisionaledits,nodegroup_id
32fb15b5-b175-4d2b-91f2-a2a4dbe05afc,c5f02bfa-a22d-4d87-aea6-e8c906f5f6d4,01de2008-1b9b-41d9-821a-b1eb6693db80,,,,"<p>Copperplate inscription from VS 2068 nailed on the west side of the <em>ilā̃</em></p>

<p>H: 6.3 cm, W: 13.2</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
e8995bf3-66ce-45a4-a45c-0d1d7d5f7311,26b09bb8-c25f-4e61-ad50-2db6dde0d583,01de2008-1b9b-41d9-821a-b1eb6693db80,,,,"<p><em>Bhajana</em> guru of Lvahãlã Ṭola from a Maharjana caste, male, age 74</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
388ca553-19a5-45c0-9a97-1c7c6fae7c21,03e2d405-b102-4d81-b909-76ae7f28f442,01de2008-1b9b-41d9-821a-b1eb6693db80,,,,"<p>Copperplate inscription attached on the south side of oil-lamp balustrade</p>

<p>H: 9.8 cm, W: 13 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
4e54f304-112c-4e83-99d6-791cb0876362,36b1aa95-c171-4274-9459-c965b3d6a531,01de2008-1b9b-41d9-821a-b1eb6693db80,,,,"<p>Stone inscription from NS 915 attached to the west wall of the Phalcā</p>

<p>H: 34 cm, W: 23.7</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a3d3c5a0-bf17-46f8-b32c-e30e06d1d1f6,8d3ab283-e39e-49ce-990f-9bb2c5f1468e,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,KAT0820_I_001,"<p>Stone inscription from NS 734 affixed to the north-western side of the Caitya.</p>

<p>H: 59.8 cm, W: 27 cm</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/DD62FCIZ/library"" target=""_blank""><strong>S.S. Śreṣṭha</strong></a> 2002, 24-25</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
290402c0-5eb4-4cc2-8619-3a2aa5ee3ff7,5ffaae2b-92c6-42f6-ace9-4fb64eaaaf08,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,KAT0820_I_002,"<p>H: 71 cm, W: 12 cm</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/DD62FCIZ/library"" target=""_blank""><strong>S.S. Śreṣṭha</strong></a> 2002, 25-26</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
e7314382-29c0-46bd-97e7-f568766233b5,8387f0f7-f636-48da-b11c-ecd86e285344,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,KAT0820_I_005,"<p>Marble inscription from VS 2069</p>

<p>H:59 cm, W: 54.5 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
62fcd2d3-7f88-4ce4-b21e-226110a6a102,bb00e75a-ba22-4c79-a328-fa645c365bd5,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,KAT0820_I_004,"<p>Inscription from VS 2058</p>

<p>H: 82.4 cm, W: 44.5 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a4e4164b-a6b2-4458-b999-53c024193822,45d658f9-e4a2-497e-bca5-e5bbd8674bf2,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,,"<p>Copperplate inscription from NS 1002</p>

<p>H: 180.5 cm, W: 7.5 cm</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/DD62FCIZ/library"" target=""_blank""><strong>S.S. Śreṣṭha</strong></a> 2002, 26</p>

<p>This inscription is not found in the Caitya premises at present.</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a1cc3585-67b3-44fe-a6f8-8206daa20d02,06aa6514-20be-4ecf-9399-76fd270e42b7,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,KAT0820_I_003,"<p>Inscription from VS 2020 on the Caitya</p>

<p>H: 13.5 cm, W: 75 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
2fdcf63f-032a-4901-af61-a9acf95dc34a,6a64a057-71d1-4e7d-a061-83c5b46d33e5,02509f50-336d-423f-ac40-60dffc2d905c,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"" target=""_blank""><strong>Pruscha</strong></a>&nbsp;1975, P-188</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke</strong></a>&nbsp;1985, 87</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
848f83f9-afae-42ec-97fe-b5f021c7d8d1,3b7414af-701f-4026-b35a-168fe1e9d6b5,02509f50-336d-423f-ac40-60dffc2d905c,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"" target=""_blank""><strong>Pruscha</strong></a>&nbsp;1975, P-188&nbsp;</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke</strong></a>&nbsp;1985, 87</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
9c29c640-4845-4a06-b4f3-531a6ae49e87,91b36b52-db3f-4d40-a1ef-797f4e488ed3,02509f50-336d-423f-ac40-60dffc2d905c,,,,"<p>Inscription from VS 2026 on the Dharmadhātu Maṇḍala</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
eec71e7e-20f8-4043-a914-afbbd1966b1d,5a9a5273-4d18-49b7-8ecd-df5171b9edb8,02509f50-336d-423f-ac40-60dffc2d905c,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/Q528C497/q/pruscha"" target=""_blank""><strong>Pruscha</strong></a>&nbsp;1975, P-188</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke</strong></a>&nbsp;1985, 87</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a486f4d8-3893-466c-8454-e19f94061b5f,227a6030-b8b6-4854-a343-8e09358ee2c1,02509f50-336d-423f-ac40-60dffc2d905c,,,,"<p>Marble inscription from VS 2069 placed on the east of Śikharakūṭa Caitya</p>

<p>H: 15 cm, W: 31 cm</p>

<p>Local knowledge: President of Mayūravarṇa Mahāvihāra Sudhāra Samiti, Vajrācārya, male, age 38</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
3f75506c-f2da-484e-b802-67f02d17d70a,0909981f-c0e2-4f61-a82e-63fb9db05439,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,<p>According to inscription from VS 2073&nbsp;</p>,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
4efc47bd-6bff-408d-8e1f-a26b5e0be9b4,026f8741-b896-4c7a-bb78-aa3ef11ab316,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,<p>According to inscription from CE 1997&nbsp;</p>,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
fdb7061a-914a-4fb8-953b-574fde076f59,318cba0e-6a72-48de-9ab1-d8b468c93c4c,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,<p>According to inscription from VS 2056</p>,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
1a1b5a78-bf9a-4aae-ace9-9aca43d053f7,f75c7c8f-1dba-48c1-b500-124ed7dbd8f7,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SIP6SKAJ"" target=""_blank""><strong>KVPT</strong></a>&nbsp;1998, 6a</p>",,,Secondary literature,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
7895d754-4ac2-450f-9493-fe16c2f6a0bb,034cef61-d3d9-44d3-afe1-6205333cecf9,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SIP6SKAJ"" target=""_blank""><strong>KVPT</strong></a>&nbsp;1998, 6 and 17</p>",,,Secondary literature,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
1e5ee05e-05b4-4e97-af2d-23f3fb7dede6,0a77ea5e-271a-43c7-8fbd-d544fb4ce7e8,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/SIP6SKAJ"" target=""_blank""><strong>KVPT</strong></a>&nbsp;1998, 6 and 17</p>",,,Secondary literature,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
60d54601-85fd-4f4b-8bb8-c26b8167c346,de90ae9a-d3ba-4476-b1e5-da279e53dc64,03ab0902-61c8-4458-8eee-f23e345d9372,,,,"<p>Local knowledge: One of the descendants of the donor of Phalcā, Jośī, male, age 76</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
90ac9c57-c09b-4d98-badc-a76a1d93bc75,018132d5-068a-4f8a-b96a-f54f0dbc60c2,03ab0902-61c8-4458-8eee-f23e345d9372,,,,"<p>Local knowledge: One of the descendants of the donor of Phalcā, Jośī, male, age 76</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
a64f8861-6da1-4a05-875f-efa491ae1d78,8face0b6-1708-4254-a49f-e1230e821b47,04e62546-0b04-41d7-9651-12189c45e5c6,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059, 27-28</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
df1f1825-de51-4b20-90ad-4eb6f8e66cba,707dac60-7f18-4835-8515-187119e99a2a,04e62546-0b04-41d7-9651-12189c45e5c6,,,,"<p>Inscription from NS 1070</p>

<p>H = 44 cm</p>

<p>W = 28 cm</p>

<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059, 30</p>

<p>&nbsp;</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
bde548e7-fb52-4062-951e-e88c13451191,6389c656-7a24-4c73-a9e9-554aed08f272,04e62546-0b04-41d7-9651-12189c45e5c6,,,,"<p>Inscription from NS 819</p>

<p>H = 37 cm&nbsp;</p>

<p>W = 24 cm&nbsp;</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
1b1b7ac0-c95a-4352-b4c1-52a5a5b498c3,86dc9da5-7741-437d-bec8-4e59ee3730a0,04e62546-0b04-41d7-9651-12189c45e5c6,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/WDCD9GA7"" target=""_blank""><strong>R. Vajrācārya</strong></a> VS 2059, 41</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
56c53b1b-95b6-4965-9608-358cb3808bd7,5b893c33-4082-4345-be33-fd1ddc56ddda,04e62546-0b04-41d7-9651-12189c45e5c6,,,,"<p>Inscription from NS 1111</p>

<p>H = 44</p>

<p>W = 54</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
5b575154-7d5e-4222-8ad9-433129bb98e2,e4befb27-849f-4df0-9b70-67797d107637,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 1102</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
7ba53cd9-5903-41c5-b4c1-513f4d28b784,ab8db5da-3e96-44f2-91a1-b3491ae85e9d,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 1035</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
e5b745eb-0624-41b9-acb5-b640d7adb2fe,a24e35a2-f325-4181-81e4-bb33f8112660,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 781</p>
","<p>The inscription is heavily damaged.</p>
",, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
35c0ee25-d53a-4b63-ac8a-fce35fc65d33,f573867c-d0bb-472c-8f5b-f0b416342a11,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 809</p>
","<p>The inscription is heavily damaged.</p>
",, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
ba80f1c5-6ace-4f0b-bd11-0f1a6ccb454c,034905cc-c0a6-440f-a703-652230594df0,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 807</p>
","<p>Inscription is slightly damaged.</p>
",, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
70364eb1-198d-404d-a4a7-a6f70d940275,96185ddc-3cec-4edc-94a9-054828d6913c,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 996&nbsp;</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
84aca387-80c7-4f9e-80e0-e0e11e619a62,fe1697a2-b76d-4c1a-b3a4-9489cfeff13a,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 840</p>
","<p>The inscription is heavily damaged.</p>
",, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
1108659f-7958-48bc-9870-f376a17d1035,f2932c42-3409-49d7-9f37-7ae2727031a5,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 1066</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
c51719c4-1858-47e6-a42a-b7cc5296ce15,555679c3-811d-4f8b-b4a6-939f4be51e54,054498ec-d633-11e9-beea-0242ac140006,,,,"<p>Inscription from NS 1037&nbsp;</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
4b12b07e-d34a-4189-a319-1a3efa8339f0,16d06e78-79cc-4c32-a8e9-819e96af7fe2,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,"<p>Darnāla, Prākaśa, 2000, &lsquo;Pātana khācheñ sthit nrityanātha mandira&rsquo;,&nbsp;<em>Abhilekha</em>, 17,52-55, here p. 55.</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
d8473b16-e596-40d2-b34f-3e85a9a3dae9,07dce498-3b8d-41d1-9449-1f0f83230f60,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
878d8fdc-4ce5-435c-9ed6-2c30ded45f4d,e58b0838-c0fb-420d-8e39-32d8bad8e22e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
688f54dc-b53e-450d-b8ac-5399afab992c,b56e1097-ca84-4c32-9f9a-56adde393b00,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
192f8383-5f5c-4c28-af05-e8f3193ab20d,45047241-2e15-4d77-854e-4bbf7af3263e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
c4dd1ef6-9397-44bd-8aef-4c88fe8fb1be,08aac4d9-de10-4baf-9e5c-d42bf72ffecc,0687a32c-e7e8-11e9-8bc4-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/XIQBXLE8/q/Pruscha"" target=""_top""><strong>Pruscha</strong></a> (1975: 181)</p>
",,,"Secondary literature, Local knowledge",0,,ff5994c6-a321-11e9-8e7b-0242ac140004
65df0ed7-a437-47eb-965f-9ab156df8425,eb64b50a-171c-45b0-9bd0-bb9eb7b95296,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p>Inscription from NS 883</p>
","<ol>
	<li><em>samvat 883 caitra kṛṣṇa catudaśyāyāṃ tithwa utrabhātra na-</em></li>
	<li><em>kṣatra vaidhati joge Kuṃbharāsigate: Mīnarāsi ca:</em></li>
	<li><em>ndramasi || A&ntilde;gabārasare: thwa kunhu: capārasa loha</em></li>
	<li><em>Gaṃśala (Gaṇeśa): dayakaḥ dīna julo: Parīdeva Bhāvo</em></li>
	<li><em>Jesta pramukha Vasurāma Bhāvo: Dhamasi&ntilde;a Bhāvo: Na-</em></li>
	<li><em>chomasiṃ Bhāvo, Silhāma Bhāvo: Parisi&ntilde;a Bhāvo: Ha-</em></li>
	<li><em>kusi&ntilde;a Bhāvo: Vaśudeva Bhāvo: Mādeva Bhāvo</em></li>
	<li><em>Rakṣmi Si&ntilde;a Bhāvo: Kṛṣṇadeva Bhāvo: Pāhā Bhāvo</em></li>
	<li><em>: Parīkṣa Bhāvo: Lachimasiṃ Bhāvo: Dhanadeva Bhāvo</em></li>
	<li><em>Palideva Bhāvo: Sidhīsi&ntilde;a Māhāṃ Bhāvo: chethāsa thu-</em></li>
	<li><em>tī samūhana dayakā juro: śubha : ||</em></li>
</ol>
",, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
9c813045-5505-4f81-a648-04c00abc91bf,794d33a3-07ad-445a-8158-08ef76b5f5d4,06a4360c-e5ec-11e9-b125-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
171f00d6-6566-43c0-b17a-cd69897d7490,73185739-9637-4afd-8553-05b0bea7aa12,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p>Inscription from NS 822</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
74fb9aa2-8a44-4a97-8a94-b88337fdb50d,2cee0988-b94b-4633-a3d0-a376a058561f,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/7PNQXZQ2/q/maharjan"" target=""_blank""><strong>Maharjan</strong></a>&nbsp;2018,&nbsp;299</p>
",,, Local knowledge,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
50e93b11-7204-4d99-b3d3-f667460a71fa,9470c129-0672-4423-8b4f-ac53211e3c0e,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p>Inscription from NS 828</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
8e96c4c8-6e91-4bf2-ad46-27c6c9305379,0d504cfb-2600-4bbe-afb5-5db6f94d0214,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p>Inscription from NS 790</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
b0a62124-5f7f-45dd-aa9e-8e94e5f0740f,8348d781-9234-4554-afde-59ff4377fd93,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p>Researched by Rajendra Shakya&nbsp;</p>
",,, Local knowledge,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
681a6580-d476-4612-91f6-af7510dadda1,f10c1b37-915c-40b7-9d9d-a739224f16e6,06a4360c-e5ec-11e9-b125-0242ac130002,,,,"<p><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/search/alina/titleCreatorYear/items/RR4D39XW/item-list"" target=""_blank""><strong>Maharjan</strong></a>, A. 2016. Yala, Dupāḥtvaḥyā Sanāḥ Guthi. Lalitpur:Dupāṭa ṭola Sudhāra Samiti. p. 7</p>
",,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
94494c41-a52b-4dc7-9e8e-6e6cc1a7b7a0,d118cd59-be56-4704-a035-f60b83ef22db,06a4360c-e5ec-11e9-b125-0242ac130002,,,,,,, Inscription,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
7f8f408d-e7f8-4e79-bfbc-b41730fa19f9,e29a862c-d3c7-4c69-82a3-d712654e7c4b,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,KAT0920 _I_003,"<p>Inscription on the north plinth of Jalaharyoparijinālaṅkṛta Caitya (KAT0920-006)</p>

<p>H: 26 cm, W: 47 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
4bd9e5ac-d236-4bfe-895b-09b2d3745ee8,bd87989c-1694-46d5-a564-5f2d5e4830d7,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p>Inscription on the middle <em>toraṇa </em>from NS 938</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
3df1ebe6-1348-46ca-bfbe-d60d43485384,5d9b47be-2f12-465d-b547-526550b6366b,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/6PTZRT35/library"" target=""_blank"">Vajrācārya G. and Panta M.</a> </strong>2018, 15-16</p>

<p>H: 119 cm, W: 54 cm</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
61254cb4-fbbb-4f1a-abab-96f8c05a83bd,8a65a618-bbf2-4d00-a5ce-aca596e4eb36,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/7Z998XTT/library"" target=""_blank"">Śreṣṭha D.</a>&nbsp;</strong>2059, 40</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
d71192eb-2e7a-4bae-8163-9c018e733d94,3ca3d824-fcc9-45a3-9bb8-d7804cee710b,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/7Z998XTT/library"" target=""_blank"">Śreṣṭha D.</a>&nbsp;</strong>2059, 40</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
f77e36b2-928d-495f-a9e3-276bd8e54ac1,30264846-9de2-4e95-9a95-75375f5fab62,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p>Inscription on the south toraṇa from NS 951</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
15b60f1a-76f4-4e40-bd97-163d1e2a7457,8fe6693d-14a2-4434-b461-86be88764ed6,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p>Inscription on the west <em>toraṇa </em>from NS 982</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
1e624d3a-a0b2-4e31-8a3a-5e379ec15363,ea08a797-075d-4340-af71-11dbbcc766f4,06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,,,,"<p>Dyaḥpāḥlāḥ of the Temple from a Ḍaṅgola caste, female, age 68</p>
",,,,0,,ff5994c6-a321-11e9-8e7b-0242ac140004
