tileid,parenttile_id,resourceinstance_id,historicaldetailimage,historicaldetailimagecaption,Historical Event Description,historical event name,historical event category,sortorder,provisionaledits,nodegroup_id
77f14224-a1d2-4e9c-a6bc-9de53dced024,c5f02bfa-a22d-4d87-aea6-e8c906f5f6d4,01de2008-1b9b-41d9-821a-b1eb6693db80,,,"<p>Cirikājī (Gvāthyā) Maharjana offered a copper <em>ilā̃</em> to the Svayambhū Caitya in the memory of his deceased parents.</p>
",Offering a copper ilā̃,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
8c6ed563-6d5f-4bb8-ad0d-d597f717a0a1,26b09bb8-c25f-4e61-ad50-2db6dde0d583,01de2008-1b9b-41d9-821a-b1eb6693db80,,,"<p>In 2008 CE (VS 2065) the derelict Lvahãlã Phalcā was reconstructed. Lalitpur Metropolitan City contributed a sum of Rs 660,000 to this process. During the reconstruction, another floor was added as well as iron railings that could be locked.</p>
",Reconstruction of the Phalcā,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
669637ce-da7b-438b-abab-776bf4853d0d,03e2d405-b102-4d81-b909-76ae7f28f442,01de2008-1b9b-41d9-821a-b1eb6693db80,,,"<p>Candramāyā Śāhī offered four praying wheels and a <em>dalūcā</em> to the Svayambhū Caitya.</p>
",Offering of praying wheels and a dalūcā,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
6d920122-8a77-460d-a259-240b11720681,36b1aa95-c171-4274-9459-c965b3d6a531,01de2008-1b9b-41d9-821a-b1eb6693db80,,,"<p>A person named Cikiti Bhāvo and some others contributed to the construction of the Phalcā.</p>
",Construction of the Phalcā,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
93493001-6192-4486-ab53-5f8be03a5272,bb00e75a-ba22-4c79-a328-fa645c365bd5,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>This renovation was completed with the help of local residents and devotees. During the renovation process, Kuśāna and Licchavi coins, small <em>caityas</em>, statues and other antique items were found inside the dome of the Caitya (note that <a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/DD62FCIZ/library"" target=""_blank""><strong>S.S. Śreṣṭha</strong></a>&nbsp;2002 has given a list of these items). Badrīratna Vajrācārya was the priest during the consecration ceremony performed upon the completion of the renovation.</p>
",Renovation of the Tukaṃ Bāhāḥ Caitya,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
fe23601c-f5f0-4744-a879-437fd453bf1d,45d658f9-e4a2-497e-bca5-e5bbd8674bf2,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>The inscription recording this renovation does not inform us about the person(s) who sponsored the event. However, it mentions that Vajrācārje (Vajrācārya) Kūlaharṣa was the main priest on that occasion. Note that this inscription is not there in the Caitya premises anymore (as of August 2021).</p>
",Renovation of the Tukaṃ Bāhāḥ Caitya,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
b163cba8-7b8c-4d8e-8ee9-6ac7f22d83d1,06aa6514-20be-4ecf-9399-76fd270e42b7,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>Hīrāmāna Ḍoṅgol and his family members from&nbsp;Jaisidevala, constructed this&nbsp;Dharmadhātujinālaya Caitya (see the object number KAT0820-014 above).</p>
",Construction of a Dharmadhātujinālaya Caitya,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
bc7b79ce-6723-4a9e-902a-c0bcfa1acfca,8d3ab283-e39e-49ce-990f-9bb2c5f1468e,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>It was renovated by Śākyabhikṣu Maṇirāja and others from the Kīrtipuṇya Mahāvihāra during the reign of Śivasiṃha Malla.</p>
",Renovation of the Caitya,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
7f4f50d5-018f-4f69-acec-fa45a781e387,5ffaae2b-92c6-42f6-ace9-4fb64eaaaf08,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>Dayālakṣmī Maharjana constructed this&nbsp;Pañcāvalīyukta Caitya (see object number KAT0820-015 above) in memory of her&nbsp;husband Manoratha Singh and son Bhāgivanta Singh.</p>
",Construction of Pañcāvalīyukta Caitya (KAT0820-015),,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
4e41281f-95c2-460e-b869-7345f0978d1f,8387f0f7-f636-48da-b11c-ecd86e285344,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,,,"<p>A trust named &lsquo;Tukaṃbahāla Bauddha Caitya Saṃrakṣaṇa Samiti&rsquo; was formed in order to maintain the Caitya.</p>
",Formation of a trust,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
9a637013-9bb1-4204-ae17-84ce7e9abf39,6a64a057-71d1-4e7d-a061-83c5b46d33e5,02509f50-336d-423f-ac40-60dffc2d905c,,,"<p>Certain Śreṣṭha families having the family name Mulmī built this Bāhāḥ and appointed a Vajrācārya family of Bhinche Bāhāḥ for its regular worship and maintenance.</p>
",Initial construction of the Bāhāḥ,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
7a3c356b-45b1-4948-b5b6-2d5a6e0dfab7,227a6030-b8b6-4854-a343-8e09358ee2c1,02509f50-336d-423f-ac40-60dffc2d905c,,,"<p>The Guruṅga Maharjana and his family members offered a balustrade (<em>dalūcā</em>) to the Bāhāḥ for lighting up oil-lams and also filled in the empty niches of the Caitya with new statues.</p>
",Offering of an oil-balustrade and establishment of new statues,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
bcef513d-369c-488c-a391-bb500d4f66f3,3b7414af-701f-4026-b35a-168fe1e9d6b5,02509f50-336d-423f-ac40-60dffc2d905c,,,,Pavement of courtyard,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
2e7924de-f94e-4e43-b3e3-5c411f74d83d,91b36b52-db3f-4d40-a1ef-797f4e488ed3,02509f50-336d-423f-ac40-60dffc2d905c,,,"<p>A Citrakāra family constructed this Dharmadhātu Maṇdala in the memory of their deceased parents (Bhīmadāsa and Harṣalakṣmī).</p>
",Construction of Dharmadhātu Maṇḍala,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
0634ceaa-10d6-40b9-84ee-41d509f7ca48,5a9a5273-4d18-49b7-8ecd-df5171b9edb8,02509f50-336d-423f-ac40-60dffc2d905c,,,"<p>As mentioned in Locke (1985, 87) a statue of Dīpaṅkara Buddha was installed in the Bāhāḥ.</p>
",Installation and consecration of a statue of Dīpaṅkara,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
af49245e-6c57-4de8-859e-06857d9f9158,034cef61-d3d9-44d3-afe1-6205333cecf9,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,<p>Both of the temple&#39;s&nbsp;roofs collapsed.</p>,Collapse of the roofs,Destruction,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
a5ab8471-a0e8-4422-b682-a166f8196274,f75c7c8f-1dba-48c1-b500-124ed7dbd8f7,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,<p>The main stone statue of the sanctum was stolen</p>,Theft of the main statue,Other event category,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
485e1314-246a-496a-84bd-1bb08fc505fd,0a77ea5e-271a-43c7-8fbd-d544fb4ce7e8,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,<p>King Mahendra provided financial support from his own personal trust&nbsp;for minor repairs (e.g. refacing masonry) and to replace&nbsp;the copper pinnacle.&nbsp;</p>,Repairs,Restoration/repair,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
58b56437-de94-4a1e-b540-db8bbd7bc5b2,0909981f-c0e2-4f61-a82e-63fb9db05439,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,"<p>Donation of a bell by Abhisikha, Apekṣya and Aniruddha</p>
",Donation of a bell ,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
48b48bc7-98af-490f-9170-a5e6438ec25e,318cba0e-6a72-48de-9ab1-d8b468c93c4c,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,,Restoration of the shrine,"Donation,Restoration/repair",0,,ff5966a4-a321-11e9-8e7b-0242ac140004
502c0d56-8f72-4e6a-9415-3071efa9fa05,026f8741-b896-4c7a-bb78-aa3ef11ab316,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,,,"<p>Restoration of the temple by the Generosity of Studiosus Reisen (Germany) and the&nbsp;Department Of Archaeology (Nepal), as well as&nbsp;Lalitpur Sub Municipality, the local community, and Kathmandu Valley Preservation Trust</p>",Restoration of the temple,Restoration/repair,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
3f01a23d-017f-4c55-813a-aee6e0182e55,de90ae9a-d3ba-4476-b1e5-da279e53dc64,03ab0902-61c8-4458-8eee-f23e345d9372,,,"<p>The&nbsp;Phalcā was rebuilt in 2012 with the financial support of the Lalitpur Metropolitian City Office and&nbsp;under the supervision of Khapiṃchẽ Youth Club.</p>
",Reconstruction of the Phalcā,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
0ee84d30-9b10-4fd8-bf9f-57f622bb7d75,018132d5-068a-4f8a-b96a-f54f0dbc60c2,03ab0902-61c8-4458-8eee-f23e345d9372,,,"<p>This Phalcā completely collapsed during the 1934 earthquake. Its original function&nbsp;was abandoned and&nbsp;the remnants of the building were&nbsp;used as&nbsp;a platform before it was finally rebuilt in 2012.</p>
",Collapsed during 1934 earthquake,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
7c23b728-0c7c-40db-af3f-3a3998045792,6389c656-7a24-4c73-a9e9-554aed08f272,04e62546-0b04-41d7-9651-12189c45e5c6,,,"<p>The inscription records that Dhanadevaju, Satamuniju, Ratnacandraju, Dhanapatiju, Desarājaju&nbsp;and Ratnadevaju constructed a dedicated place (<em>pura</em>) for Cakrasamvara. This can be found on the topmost floor of&nbsp;one of the buildings in the courtyard. In doing so, they also made an offering of&nbsp;a gilded pinnacle, garlands and three-layered umbrella. The inscription mentions that this cost&nbsp;140 <em>mohora taṃkā</em>.</p>
",Construction of a dedicated place (pura) to Cakrasamvara,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
09d17aef-bd10-4eb5-841d-2222ef29e1ae,86dc9da5-7741-437d-bec8-4e59ee3730a0,04e62546-0b04-41d7-9651-12189c45e5c6,,,"<p>The inscription mentions that Padmaratna Dhākhvāḥ and his wife Sānunānī offered a crown to Saṅkaṭā.</p>
",Offering of a crown ,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
cca221ed-bc22-45b2-a34e-319ea238a1fa,5b893c33-4082-4345-be33-fd1ddc56ddda,04e62546-0b04-41d7-9651-12189c45e5c6,,,"<p>The rectangular courtyard located to the south of the&nbsp;Digi was renovated by the members of the Kvāḥ Bāhāḥ <em>saṅgha.</em></p>
",Renovation of the rectangular courtyard,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
46cf83fc-05dd-4f66-b7ef-944e024d20cd,707dac60-7f18-4835-8515-187119e99a2a,04e62546-0b04-41d7-9651-12189c45e5c6,,,"<p>The Saṅkaṭā Ilānani was renovated with financial support (totalling&nbsp;13,000 rupees) offered by the <em>saṅgha</em> members, some Brahmins, the Ṭhakurī Kings,&nbsp;Daivaj&ntilde;as and Dhaṃgūs. These funds&nbsp;also allowed&nbsp;a large metal statue of Saṅkatā to be established on the Ilānani&#39;s&nbsp;ground floor. The statue&nbsp;is a replica of the smaller one kept in a secret space dedicated to Cakrasamvara. It was designed by Bahādura Vajrācārya of Aki Bāhāḥ. Local women donated the metals which were used for its construction.</p>
",Renovation of the Digi (A),,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
ff740327-5064-407b-bbfb-eebf844f01b1,8face0b6-1708-4254-a49f-e1230e821b47,04e62546-0b04-41d7-9651-12189c45e5c6,,,"<p>The copperplate inscription&nbsp;on the&nbsp;Digi&rsquo;s first floor informs its reader&nbsp;that the <em>āḥjus</em> renovated the secret space dedicated to Cakrasamvara. It lists the name of the&nbsp;<em>āḥjus&nbsp;</em>responsible.</p>
",Renovation of Cakrasamvara shrine,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
1f912105-fcec-4950-865f-895bf594a031,f573867c-d0bb-472c-8f5b-f0b416342a11,054498ec-d633-11e9-beea-0242ac140006,,,"<p>After the restoration of the <em>caitya</em>&nbsp;was complete, Jadudeva (from a Śākya clan in Ilā Nani) donated an umbrella.</p>
",Donation of an umbrella,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
2dc15401-0571-4627-b3df-30e5bd3b9497,034905cc-c0a6-440f-a703-652230594df0,054498ec-d633-11e9-beea-0242ac140006,,,"<p>During the reign of Yoganarendra Malla, Jaḍaduva (from a Śākya clan living in Ilā Nani) repaired the <em>durgatipariśodhana&nbsp;caitya&nbsp;</em>. Amṛtasiṅghadeva, Dharmasiṅgha and Tapādeva donated five <em>mohora ṭaṅkās</em> each to the <em>caitya</em>. Ma&ntilde;judeva Vajrācārya was the priest of the <em>caitya</em>.</p>
","Renovation of the durgatipariśodhana caitya
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
72195af2-8392-447a-bef4-a024780bf40e,cecbab91-724b-4187-ba11-60559102b24d,054498ec-d633-11e9-beea-0242ac140006,,,"<p>Statues of&nbsp;Harṣarāja and Āsāthakū can be found&nbsp;on the door of the upper floor of the Bāhāḥ. The date that they were donated&nbsp;is not mentioned. There is a statue of Padmapāṇi Lokeśvara on&nbsp;top of both of the&nbsp;statues.</p>
",Construction of an image of donors,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
3a2fea3c-19e0-4d8b-8acb-1fc9253efaa3,96185ddc-3cec-4edc-94a9-054828d6913c,054498ec-d633-11e9-beea-0242ac140006,,,"<p>Since the statue of Maitreya Bodhisatva worshipped as <em>kvāḥpāḥdyaḥ </em>in the <em>bāhāḥ</em> was severely dilapidated, it was repaired by donors. Bhājudhana and family from Dhavagāla Ṭola donated land to fund its renovation and for the&nbsp;<em>varṣavardhanapūjā</em>. &nbsp;&nbsp;&nbsp;</p>
","Repair of the image of kvāḥpāḥdyaḥ
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
e6ed73ae-2843-439b-b7e7-3294ff744b79,fe1697a2-b76d-4c1a-b3a4-9489cfeff13a,054498ec-d633-11e9-beea-0242ac140006,,,"<p>The images of Buddha, Dharma and Saṅgha&nbsp;were consecrated in front of the <em>kvāḥpāḥdyaḥ&nbsp;</em>in the sanctum.</p>
",Consecration of the statues,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
56d469df-715d-424d-ba77-8fab43752b3d,f2932c42-3409-49d7-9f37-7ae2727031a5,054498ec-d633-11e9-beea-0242ac140006,,,"<p>The <em>dharmadhātu maṇḍala</em>&nbsp;was constructed to the east of the&nbsp;<em>durgatipariśodhana caitya</em>. It was constructed by Jujumāna and his wife in memory of his late parents Kulamāna and Hera Thaṅku.</p>
","Donation of a stone toraṇa
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
efce4490-589f-43ff-81c2-9e9d425d530d,555679c3-811d-4f8b-b4a6-939f4be51e54,054498ec-d633-11e9-beea-0242ac140006,,,"<p>Buddhirāja of Dhapagāla donated a stone <em>toraṇa </em>of Pa&ntilde;cabuddhas to the statue of Akṣobhaya Buddha at the <em>durgatipariśodhana caitya</em>.</p>
","Donation of a stone toraṇa
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
e471242e-9b9d-49c6-b255-24d41eecf551,ab8db5da-3e96-44f2-91a1-b3491ae85e9d,054498ec-d633-11e9-beea-0242ac140006,,,"<p>Harṣarāja constructed the <em>dharmadhātu maṇḍala</em> in front of the <em>dyaḥchẽ</em> of Micchu Bāhāḥ.</p>
","Construction of the dharmadhātu maṇḍala
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
37f6dced-e523-4230-b47c-c965e2af38f2,a24e35a2-f325-4181-81e4-bb33f8112660,054498ec-d633-11e9-beea-0242ac140006,,,"<p>An individual called Dharmarāja from Ilā Nani made an offering of a golden oil lamp to the <em>durgatipariśodhana&nbsp;caitya.</em></p>
",Offering of a golden oil lamp,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
902d1a58-3bc7-4015-be5f-cd84897b4995,e4befb27-849f-4df0-9b70-67797d107637,054498ec-d633-11e9-beea-0242ac140006,,,"<p>Local people collected funds to repair the dilapidated <em>dyaḥchẽ</em>.</p>
","Donation of a stone toraṇa
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
a8794d34-34a0-4d0c-b92b-ab0e7533f12a,45047241-2e15-4d77-854e-4bbf7af3263e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>Bhīmadeva constructed the Nṛtyeśvara Temple.</p>
",Construction of the Nṛtyeśvara Temple,Initial construction/creation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
0ca003a3-2d2e-4fa7-8ffb-fcc019b6f133,b2122059-a193-46d5-8ab1-871c6f516732,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>There is a bell hanging on a stone beam. The bell was donated in NS 918. The stone beam retains the date NS 830. It appears that the earlier bell was donated in NS 830 and after it was broken or lost the second one was installed in NS 918.&nbsp;</p>
","Donation of bell (B)
",,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
ee9e379f-c8c0-424a-b1a6-ef475e5b47fe,16d06e78-79cc-4c32-a8e9-819e96af7fe2,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>Rudrasiṁha Bhāro and his family installed a stone pillar with a statue of a monkey holding an oil lamp.</p>
","Constructionof a stone pillar with a statue of monkey
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
6605016a-d00c-4577-9e3f-aa61d39b03a6,f41f0666-afe5-4f97-928a-3f2b893cb208,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,,None,,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
ea848340-86a3-4852-ac1a-16402edb7b34,e58b0838-c0fb-420d-8e39-32d8bad8e22e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>Donation of the embossed metal&nbsp;<em>toraṇa</em>&nbsp;in front of the three small holes which are worshipped as Nṛtyeśvara.&nbsp;&nbsp;</p>
",Donation of toraṇa,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
07884ceb-7913-40dc-994d-d4376b52aa52,07dce498-3b8d-41d1-9449-1f0f83230f60,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>Renovation of the temple</p>
",Renovation of the temple,Restoration/repair,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
7d11d0c8-0a28-4f13-a7ed-cbc94c8a0693,7e1fb2d8-7a1b-4aa4-b69b-2e69bca63aec,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>A person named Kṛṣṇa installed a bell in front of the&nbsp;<em>śikharakūṭa caitya</em>.</p>
","Donation of a bell (A)
",Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
6ba43674-f9cc-4363-bea9-7db0353ea739,b56e1097-ca84-4c32-9f9a-56adde393b00,05e2a35c-e8d5-11e9-8bc4-0242ac130002,,,"<p>Hari Bhāro (son of the Rudrasiṁha Bhāro) donated the&nbsp;<em>śikharakūṭa caitya.</em></p>
",Construction of the śikharakūṭa caitya,Donation,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
75847688-5122-4a09-8dc5-a6616e4c0ccb,08aac4d9-de10-4baf-9e5c-d42bf72ffecc,0687a32c-e7e8-11e9-8bc4-0242ac130002,,,"<p>All bays of the phalcā were closed. The Ṭola Sudhārā Samiti installed doors on the eastern and northern&nbsp;sides, allegedly to prevent the monument being used by&nbsp;homeless persons. In a photo published in&nbsp;<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/XIQBXLE8/q/Pruscha"" target=""_top""><strong>Pruscha</strong></a> (1975, vol. 2, p. 181, P-186), the Phalcā can be seen in the rightr corner without doors and closed bays.&nbsp;</p>
",Fixing of doors,Modification/expansion,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
1ca240ac-e585-4e7d-9966-627be43d7307,f10c1b37-915c-40b7-9d9d-a739224f16e6,06a4360c-e5ec-11e9-b125-0242ac130002,,,"<p>This inscription is attached to the eastern wall of the first floor. The historical event mentioned in this inscription is not&nbsp;related to this&nbsp;<em>capāḥ</em>. Rather,&nbsp;the inscription mentions the rules and regulations around the management of an irrigation canal in a rural area of eastern Lalitpur. This is the responsibility of the&nbsp;Sanāḥ Guṭhī. The text in this inscription has been partly copied from the inscription dated&nbsp;NS 803 referring to&nbsp;King Jitāmitra Malla of Bhaktapur. The same text is also mentioned in <em><strong><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/RLA2AXR2/q/Nepalika"" target=""_blank"">Nepālikabhūpavaṁśāvalī</a></strong>&nbsp;</em>(19.1.116a/I).</p>
","Regulation of irrigation management in a rural area of eastern Lalitpur and the Sanāḥ Guṭh&#39;s role in this
",Other event category,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
a0626e41-b017-47d6-a3da-07698b058dfa,8348d781-9234-4554-afde-59ff4377fd93,06a4360c-e5ec-11e9-b125-0242ac130002,,,"<p>Around VS 2040-45, members of the local Jyāpu community established a library in this Capāḥ. The photo published by Pruscha (1975 II: 188) used for describing the Dupāt Gaṇeśa also shows the board of the&nbsp;library<em>. </em>The library is currently housed in the Pichū Phalcā at the rear of the same building.</p>
","Establishment of Kṛṣaka Pustakālaya (Library)
",Other event category,0,,ff5966a4-a321-11e9-8e7b-0242ac140004
